0,1,2,3,4,5,6,7,1,2,3,4,5
0316041,無線網路概論,競技程式設計(一),訊號與系統,電腦安全概論,物聯網應用設計與實作,數值方法,組合語言與系統程式,數位遊戲與學習,電腦動畫與特效,電腦視覺,虛擬實境與擴增實境,高等UNIX程式設計
0316042,無線網路概論,競技程式設計(一),訊號與系統,物聯網應用設計與實作,數值方法,組合語言與系統程式,數位訊號處理概論,無線網路,數位遊戲與學習,電腦動畫與特效,電腦視覺,虛擬實境與擴增實境
0316043,網路通訊原理,訊號與系統,數值方法,組合語言與系統程式,科技創業與營運,無人機自動飛航與電腦視覺概論,電路與電子學(二),無線網路,數位遊戲與學習,電腦動畫與特效,虛擬實境與擴增實境,電腦視覺
0316044,無線網路概論,網路通訊原理,人工智慧概論,訊號與系統,電腦安全概論,物聯網應用設計與實作,數值方法,無線網路,數位遊戲與學習,虛擬實境與擴增實境,電腦動畫與特效,電腦視覺
0316045,無線網路概論,網路通訊原理,競技程式設計(一),訊號與系統,電腦安全概論,物聯網應用設計與實作,組合語言與系統程式,無線網路,數位遊戲與學習,高等UNIX程式設計,虛擬實境與擴增實境,電腦動畫與特效
0316046,無線網路概論,網路通訊原理,競技程式設計(一),訊號與系統,電腦安全概論,物聯網應用設計與實作,數值方法,數位遊戲與學習,電腦動畫與特效,虛擬實境與擴增實境,電腦視覺,演算法
0316047,無線網路概論,網路通訊原理,密碼學概論,訊號與系統,數值方法,物聯網應用設計與實作,組合語言與系統程式,無線網路,數位遊戲與學習,電腦動畫與特效,虛擬實境與擴增實境,電腦視覺
0316048,無線網路概論,競技程式設計(一),訊號與系統,物聯網應用設計與實作,數值方法,組合語言與系統程式,影像處理概論,無線網路,數位遊戲與學習,虛擬實境與擴增實境,電腦動畫與特效,演算法
0316049,網路通訊原理,競技程式設計(一),訊號與系統,物聯網應用設計與實作,數值方法,組合語言與系統程式,影像處理概論,無線網路,數位遊戲與學習,電腦動畫與特效,虛擬實境與擴增實境,演算法
0316050,無線網路概論,密碼學概論,競技程式設計(一),訊號與系統,組合語言與系統程式,物聯網應用設計與實作,數值方法,無線網路,數位遊戲與學習,高等UNIX程式設計,電腦視覺,電腦動畫與特效
0316051,無線網路概論,競技程式設計(一),訊號與系統,物聯網應用設計與實作,數值方法,組合語言與系統程式,影像處理概論,無線網路,電腦動畫與特效,虛擬實境與擴增實境,電腦視覺,演算法
0316052,無線網路概論,網路通訊原理,密碼學概論,競技程式設計(一),訊號與系統,組合語言與系統程式,數值方法,無線網路,數位遊戲與學習,高等UNIX程式設計,虛擬實境與擴增實境,電腦視覺
0316053,無線網路概論,網路通訊原理,訊號與系統,物聯網應用設計與實作,數值方法,影像處理概論,數位訊號處理概論,無線網路,電腦動畫與特效,電腦視覺,演算法,高等UNIX程式設計
0316054,無線網路概論,競技程式設計(一),訊號與系統,電腦安全概論,物聯網應用設計與實作,數值方法,組合語言與系統程式,數位遊戲與學習,電腦動畫與特效,高等UNIX程式設計,演算法,使用者經驗與易用性評估
0316055,無線網路概論,網路通訊原理,密碼學概論,電腦安全概論,物聯網應用設計與實作,數值方法,組合語言與系統程式,無線網路,數位遊戲與學習,電腦動畫與特效,虛擬實境與擴增實境,電腦視覺
0316056,無線網路概論,密碼學概論,競技程式設計(一),訊號與系統,物聯網應用設計與實作,組合語言與系統程式,數值方法,數位遊戲與學習,電腦動畫與特效,虛擬實境與擴增實境,電腦視覺,高等UNIX程式設計
0316057,網路通訊原理,競技程式設計(一),訊號與系統,物聯網應用設計與實作,數值方法,組合語言與系統程式,數位訊號處理概論,無線網路,電腦動畫與特效,電腦視覺,演算法,高等UNIX程式設計
0316058,無線網路概論,競技程式設計(一),訊號與系統,電腦安全概論,物聯網應用設計與實作,數值方法,組合語言與系統程式,數位遊戲與學習,電腦動畫與特效,虛擬實境與擴增實境,電腦視覺,高等UNIX程式設計
0316059,無線網路概論,競技程式設計(一),訊號與系統,電腦安全概論,物聯網應用設計與實作,數值方法,組合語言與系統程式,無線網路,數位遊戲與學習,高等UNIX程式設計,電腦動畫與特效,虛擬實境與擴增實境
0316060,無線網路概論,網路通訊原理,競技程式設計(一),訊號與系統,電腦安全概論,物聯網應用設計與實作,數值方法,數位遊戲與學習,電腦動畫與特效,虛擬實境與擴增實境,電腦視覺,高等UNIX程式設計
0316061,無線網路概論,網路通訊原理,訊號與系統,電腦安全概論,物聯網應用設計與實作,數值方法,組合語言與系統程式,電腦動畫與特效,虛擬實境與擴增實境,電腦視覺,演算法,高等UNIX程式設計
0316062,無線網路概論,競技程式設計(一),訊號與系統,物聯網應用設計與實作,數值方法,組合語言與系統程式,影像處理概論,無線網路,電腦動畫與特效,電腦視覺,高等UNIX程式設計,使用者經驗與易用性評估
0316063,無線網路概論,網路通訊原理,訊號與系統,物聯網應用設計與實作,數值方法,組合語言與系統程式,影像處理概論,無線網路,數位遊戲與學習,電腦動畫與特效,虛擬實境與擴增實境,電腦視覺
