0,1,2,3,4,5,6,7,8,9,10
0016305,資料庫系統概論,人工智慧概論,無線網路概論,網路通訊原理,電腦安全概論,影像處理概論,數值方法,競技程式設計(一),物聯網應用設計與實作,
0016306,人工智慧概論,密碼學概論,無線網路概論,電腦安全概論,網路通訊原理,影像處理概論,數值方法,競技程式設計(一),嵌入式系統設計概論與實作,
0016307,無線網路概論,網路通訊原理,電腦安全概論,訊號與系統,影像處理概論,競技程式設計(一),嵌入式系統設計概論與實作,,,
0016308,資料庫系統概論,人工智慧概論,密碼學概論,組合語言與系統程式,電腦安全概論,無線網路概論,訊號與系統,影像處理概論,網路通訊原理,嵌入式系統設計概論與實作
0016309,無線網路概論,電腦安全概論,網路通訊原理,訊號與系統,影像處理概論,數值方法,嵌入式系統設計概論與實作,競技程式設計(一),,
0016310,資料庫系統概論,人工智慧概論,密碼學概論,無線網路概論,電腦安全概論,網路通訊原理,影像處理概論,數值方法,,
0016311,無線網路概論,網路通訊原理,訊號與系統,影像處理概論,數值方法,競技程式設計(一),嵌入式系統設計概論與實作,,,
0016312,資料庫系統概論,人工智慧概論,密碼學概論,無線網路概論,網路通訊原理,電腦安全概論,影像處理概論,數值方法,競技程式設計(一),
0016313,資料庫系統概論,人工智慧概論,密碼學概論,電腦安全概論,網路通訊原理,影像處理概論,數值方法,競技程式設計(一),,
0016314,無線網路概論,網路通訊原理,訊號與系統,影像處理概論,嵌入式系統設計概論與實作,競技程式設計(一),,,,
0016315,資料庫系統概論,人工智慧概論,密碼學概論,無線網路概論,電腦安全概論,網路通訊原理,訊號與系統,影像處理概論,數值方法,
0016316,資料庫系統概論,人工智慧概論,密碼學概論,無線網路概論,電腦安全概論,網路通訊原理,影像處理概論,數值方法,競技程式設計(一),嵌入式系統設計概論與實作
0016317,資料庫系統概論,人工智慧概論,密碼學概論,電腦安全概論,網路通訊原理,數值方法,競技程式設計(一),,,
0016318,資料庫系統概論,人工智慧概論,密碼學概論,無線網路概論,電腦安全概論,網路通訊原理,影像處理概論,數值方法,競技程式設計(一),
0016319,資料庫系統概論,人工智慧概論,密碼學概論,無線網路概論,電腦安全概論,網路通訊原理,影像處理概論,數值方法,競技程式設計(一),
0016320,人工智慧概論,無線網路概論,電腦安全概論,網路通訊原理,影像處理概論,數值方法,競技程式設計(一),,,
0016321,資料庫系統概論,人工智慧概論,密碼學概論,組合語言與系統程式,電腦安全概論,訊號與系統,無線網路概論,影像處理概論,嵌入式系統設計概論與實作,網路通訊原理
0016322,人工智慧概論,密碼學概論,無線網路概論,網路通訊原理,電腦安全概論,影像處理概論,數值方法,競技程式設計(一),物聯網應用設計與實作,
0016323,人工智慧概論,密碼學概論,無線網路概論,網路通訊原理,電腦安全概論,影像處理概論,數值方法,競技程式設計(一),物聯網應用設計與實作,科技創業與營運
0016324,人工智慧概論,密碼學概論,無線網路概論,電腦安全概論,網路通訊原理,影像處理概論,數值方法,競技程式設計(一),,
0016325,資料庫系統概論,人工智慧概論,密碼學概論,無線網路概論,電腦安全概論,網路通訊原理,影像處理概論,數值方法,競技程式設計(一),
0016326,資料庫系統概論,人工智慧概論,密碼學概論,無線網路概論,電腦安全概論,網路通訊原理,數值方法,嵌入式系統設計概論與實作,競技程式設計(一),物聯網應用設計與實作
0016327,人工智慧概論,密碼學概論,無線網路概論,電腦安全概論,網路通訊原理,組合語言與系統程式,影像處理概論,數值方法,競技程式設計(一),
0016328,無線網路概論,電腦安全概論,網路通訊原理,訊號與系統,影像處理概論,數值方法,競技程式設計(一),嵌入式系統設計概論與實作,,
0016329,資料庫系統概論,人工智慧概論,無線網路概論,網路通訊原理,電腦安全概論,影像處理概論,數值方法,競技程式設計(一),,
0016330,資料庫系統概論,人工智慧概論,密碼學概論,無線網路概論,電腦安全概論,網路通訊原理,影像處理概論,數值方法,競技程式設計(一),
